Water Bomber ID,Latitude,Longitude,Time (min),Distance travelled (km),Distance hovered (km),Fuel capacity (%),Current range (km),Water capacity (L),Status,Next updates
firehawk 1,-38.0681,147.06,0.0,0.0,0.0,100.0,640.0,3200.0,Waiting at base,[]
firehawk 2,-38.068,147.06,0.0,0.0,0.0,100.0,640.0,3200.0,Waiting at base,[]
firehawk 3,-36.066,146.9,0.0,0.0,0.0,100.0,640.0,3200.0,Waiting at base,[]
firehawk 4,-35.134,147.48,0.0,0.0,0.0,100.0,640.0,3200.0,Waiting at base,[]
firehawk 5,-35.313,149.22,0.0,0.0,0.0,100.0,640.0,3200.0,Waiting at base,[]
firehawk 6,-36.212,149.091,0.0,0.0,0.0,100.0,640.0,3200.0,Waiting at base,[]
firehawk 7,-35.92,150.08,0.0,0.0,0.0,100.0,640.0,3200.0,Waiting at base,[]
firehawk 8,-36.212,149.09,0.0,0.0,0.0,100.0,640.0,3200.0,Waiting at base,[]
firehawk 9,-36.895,149.89,0.0,0.0,0.0,100.0,640.0,3200.0,Waiting at base,[]
chinook 1,-38.0681,147.06,0.0,0.0,0.0,100.0,650.0,11500.0,Waiting at base,[]
chinook 2,-38.068,147.06,0.0,0.0,0.0,100.0,650.0,11500.0,Waiting at base,[]
chinook 3,-36.066,146.9,0.0,0.0,0.0,100.0,650.0,11500.0,Waiting at base,[]
chinook 4,-35.134,147.48,0.0,0.0,0.0,100.0,650.0,11500.0,Waiting at base,[]
chinook 5,-35.313,149.22,0.0,0.0,0.0,100.0,650.0,11500.0,Waiting at base,[]
chinook 6,-36.212,149.091,0.0,0.0,0.0,100.0,650.0,11500.0,Waiting at base,[]
chinook 7,-35.92,150.08,0.0,0.0,0.0,100.0,650.0,11500.0,Waiting at base,[]
chinook 8,-36.212,149.09,0.0,0.0,0.0,100.0,650.0,11500.0,Waiting at base,[]
chinook 9,-36.895,149.89,0.0,0.0,0.0,100.0,650.0,11500.0,Waiting at base,[]
firehawk 9,-36.895,149.89,13.037843733299955,0.0,0.0,100.0,640.0,3200.0,Going to strike 3499,['Going to watertank 27']
firehawk 9,-36.8461,149.7099013,17.451312562626104,16.918297179083556,0.0,97.35651606576819,623.0817028209165,3200.0,Inspecting strike 3499,['Going to watertank 27']
firehawk 9,-36.8461,149.7099013,18.451312562626104,0.0,0.0,96.75755773243486,619.2483694875831,325.0,Going to watertank 27,[]
firehawk 9,-36.854,149.81,20.78606925224677,8.949900643545897,0.0,95.35913575688082,610.2984688440372,325.0,Refilling at watertank 27,[]
chinook 9,-36.895,149.89,21.029151732329613,0.0,0.0,100.0,650.0,11500.0,Going to strike 2760,['Going to strike 2760']
chinook 9,-37.324818889241286,149.30819693798944,39.37536074058501,70.32713453164568,0.0,89.18044084128528,579.6728654683543,11500.0,Going to strike 2760,['Going to strike 3313']
chinook 9,-37.3514,149.2718708,40.51395666134475,4.364617696245679,0.0,88.50896119570902,575.3082477721086,11500.0,Inspecting strike 2760,['Going to strike 3313']
chinook 9,-37.3514,149.2718708,41.51395666134475,0.0,0.0,87.91921760596544,571.4749144387754,8625.0,Going to strike 3313,['Going to strike 3313']
