Strike ID,Latitude,Longitude,Spawn time (hr),Inspection time (hr),Suppression time (hr)
0,-37.6626,145.5309891,3.6365776966666665,0.4499939706418106,N/A
1,-36.749,145.7474869,6.968794978333333,1.7265170907912286,N/A
2,-36.745,145.7676263,6.356427016666666,2.3004689782117023,N/A
3,-36.6722,145.807905,6.053407119999999,2.750270093974743,N/A
4,-36.6722,145.8280443,7.276333413333333,1.3458605616237926,N/A
5,-36.8663,145.8280443,6.63186501,2.086718380965175,N/A
6,-36.8258,145.8431488,7.245847674999999,1.3188886434346074,N/A
7,-36.7127,145.8481836,7.065300368333333,1.5022161212701788,N/A
8,-36.8663,145.8582533,6.88572148,1.7845788141042704,N/A
9,-36.8258,145.8632881,5.828683186666667,2.7411376160960814,N/A
10,-36.6844,145.8733578,6.548374281666667,2.0960206406430797,N/A
11,-36.7733,145.8733578,6.0153532133333325,2.5080429435723524,N/A
12,-36.7612,145.8783926,5.730802253333334,1.0038833777772742,N/A
13,-36.7935,145.8783926,6.918345493333334,1.637746204736176,N/A
14,-36.7369,145.8884623,5.824188393333333,0.9606590876557726,N/A
15,-36.8299,145.8884623,7.223296516666666,1.2673569962044338,N/A
16,-36.8501,145.8884623,7.315215385,1.197913128614655,N/A
17,-36.8824,145.8884623,6.693506515,1.7810555327499686,N/A
18,-36.6722,145.898532,6.31915579,2.3727650565391833,N/A
19,-36.8056,145.898532,6.578730193333333,1.8781899602181784,N/A
20,-36.8218,145.9136365,6.13683659,2.3087393012364705,N/A
21,-36.6763,145.9186713,6.6303409616666675,1.9486808881983728,N/A
22,-36.7733,145.9237061,6.241498941666666,2.1686703074712175,N/A
23,-36.8016,145.9237061,6.666171645,1.7471990932363346,N/A
24,-36.9067,145.928741,6.583698886666666,2.1961442472316977,N/A
25,-36.7329,145.9438455,6.989444525,1.4943013045741422,N/A
26,-36.7652,145.9539151,6.65124202,1.7088776816110829,N/A
27,-36.8218,145.9539151,6.0174301366666665,2.338051182632078,N/A
28,-36.745,145.95895,5.880973283333334,0.9951893074154659,N/A
29,-36.8703,145.95895,6.533480533333334,1.7416690378719137,N/A
30,-36.8865,145.95895,7.194833861666667,1.189112579137994,N/A
31,-36.8339,145.9639848,7.270840641666666,0.9151134793700647,N/A
32,-36.8582,145.9740545,6.8932002699999995,1.3429114938540716,N/A
33,-36.8339,145.9790893,6.015431386666667,2.138041151460423,N/A
34,-36.8258,145.9841241,6.01459079,2.1103798510338927,N/A
35,-36.8784,145.989159,5.951764413333334,3.0647095401718443,N/A
36,-36.939,145.989159,7.215326535,1.1402459153763762,N/A
37,-36.7733,145.9941938,7.330302335,0.9696322049229447,N/A
38,-36.7975,145.9941938,6.708337265,1.5432727585527675,N/A
39,-36.8137,145.9992286,6.26057685,1.825349480161664,N/A
40,-36.8339,145.9992286,6.893278216666666,1.1495562995551498,N/A
41,-36.7046,146.0092983,6.870443373333333,1.6152128097276546,N/A
42,-36.939,146.0092983,6.408017808333333,1.9841859663269528,N/A
43,-36.7814,146.0244028,6.126931028333333,2.0699965311431616,N/A
44,-36.8784,146.0395073,6.7203646783333335,1.2024868366729091,N/A
45,-36.9188,146.0395073,7.114834861666667,1.19443025321022,N/A
46,-36.7531,146.0445422,6.886282206666667,1.5092844106116374,N/A
47,-36.8541,146.0445422,6.056355908333333,2.2291323240698038,N/A
48,-36.931,146.0445422,6.4771997699999995,1.8600274558012997,N/A
49,-36.8663,146.049577,6.653481645,1.305052438559174,N/A
50,-36.8865,146.049577,6.54953453,1.3417070849139237,N/A
51,-36.9027,146.049577,6.879614276666667,1.3905117973928958,N/A
52,-36.8299,146.0646815,7.306555058333333,0.9242301223382381,N/A
