latitude,longitude,starting at base,initial fuel
-34.809,150.54,t,0.768487194
-37.82,145.81,t,0.655574385
-37.656,149.2,t,0.515896788
-37.573,146.7,t,0.667973899
-36.846,146.08,t,0.79871031
-37.526,145.79,t,0.748959106
-37.73,146.26,t,0.661785932
-35.132,148.79,t,0.645760938
-35.624,150.02,t,0.765412811
-36.842,147.16,t,0.916986139
-35.706,150,t,0.630360496
-36.918,148.88,t,0.917458347
-36.154,148.32,t,0.599234978
-37.73,147.63,t,0.525865824
-35.982,149.7,t,0.657064312
-36.451,147.51,t,0.974447144
-37.249,146.91,t,0.800408302
-37.054,148.67,t,0.905353009
-36.713,148.26,t,0.542531649
-36.467,148.52,t,0.941316483
-36.709,149.2,t,0.706284027
-36.673,149.49,t,0.562053536
-37.134,149.27,t,0.847836811
-36.822,147.86,t,0.989861733
-35.383,149.59,t,0.779441334
-36.313,149.23,t,0.502002633
-37.439,146.04,t,0.679651731
-37.459,147.8,t,0.646947747
-37.632,146.06,t,0.603752763
-36.596,147.02,t,0.812955678
-36.117,147.52,t,0.996280661
-37.026,147.84,t,0.765210317
-35.237,149.66,t,0.538680585
-35.624,149.16,t,0.893006445
-36.766,146.71,t,0.603227851
-35.379,150.11,t,0.723745689
-37.058,146.78,t,0.731197345
-35.863,149.85,t,0.533217939
-35.387,149.28,t,0.992941274
-35.961,149.73,t,0.61792586
-37.447,149.38,t,0.855213319
-37.042,147.29,t,0.738032774
-35.04,149.21,t,0.725002755
-36.677,147.22,t,0.994833762
-36.101,149.45,t,0.999460396
-36.978,146.88,t,0.504145493
-37.561,147.28,t,0.560930844
-35.048,149.64,t,0.945034608
-36.629,148.08,t,0.901845376
-36.834,148.71,t,0.754662311
-35.863,148.84,t,0.660871592
-34.943,150.05,t,0.520096923
-36.199,147.14,t,0.537901468
-37.348,149.37,t,0.860765591
-37.687,148.22,t,0.958477186
-36.709,148.87,t,0.804933472
-37.229,149.12,t,0.930724135
-37.336,146.45,t,0.88201552
-35.64,148.65,t,0.77918132
-37.376,148.47,t,0.836278473
-35.875,148.26,t,0.506689162
-35.574,148.2,t,0.758738189
-36.471,149.02,t,0.569580908
-36.701,149.76,t,0.738219513
-36.08,149.81,t,0.861456807
-37.273,148.52,t,0.505123096
-36.325,147.83,t,0.532395409
-37.074,146.55,t,0.658433657
-36.697,147.58,t,0.822341346
-34.909,150.44,t,0.803319723
-36.878,148.11,t,0.696357512
-36.109,148.86,t,0.518321067
-37.118,146.72,t,0.575790048
-36.746,148.48,t,0.693360603
-37.769,146.98,t,0.57315306
-35.859,149.26,t,0.507741068
-36.504,147.94,t,0.829058279
-37.875,146.26,t,0.877684152
-37.396,148.93,t,0.90456412
-37.368,146.33,t,0.598789984
-36.479,149.78,t,0.980496116
-34.973,150.19,t,0.705806658
-35.495,149.73,t,0.510809434
-37.538,148.98,t,0.760988781
-37.189,148.09,t,0.797710141
-36.99,148.33,t,0.686110978
-36.398,147.25,t,0.55689861
-35.395,148.73,t,0.550747524
-36.325,148.38,t,0.812409481
-36.89,146.4,t,0.765055327
-36.121,147.99,t,0.846098147
-35.797,147.89,t,0.609513234
-37.785,146.63,t,0.531183253
-35.374,148.44,t,0.513468486
-36.499,149.31,t,0.564956811
-37.254,147.5,t,0.77635451
-36.004,148.54,t,0.973735352
-37.435,147.02,t,0.525058529
-36.893,149.5,t,0.46096733
-36.253,149.76,t,0.980687542
