latitude,longitude,time
-37.396,145.0737,1025.0
-37.326,145.0792,965.0
-37.326,145.1068,936.0
-37.3829,145.1123,971.0
-37.3303,145.1233,965.0
-37.361,145.1233,934.0
-37.3172,145.1344,947.0
-37.3479,145.1344,969.0
-37.326,145.1399,967.0
-37.3566,145.1454,964.0
-37.396,145.1454,958.0
-37.3566,145.1619,960.0
-37.4179,145.1785,957.0
-37.4135,145.1895,964.0
-37.4572,145.1895,965.0
-37.4529,145.2061,939.0
-37.4398,145.2336,967.0
-37.2514,145.2447,884.0
-37.4791,145.2447,955.0
-37.4572,145.2502,989.0
-37.1678,145.2557,1004.0
-37.3479,145.2722,1124.0
-37.466,145.2833,963.0
-37.361,145.2888,994.0
-37.3698,145.2888,1000.0
-37.4441,145.2888,1052.0
-37.4965,145.2888,919.0
-37.5184,145.2943,954.0
-37.4922,145.3053,887.0
-37.5009,145.3053,931.0
-37.5184,145.3108,913.0
-37.4878,145.3274,970.0
-37.5053,145.3274,928.0
-37.396,145.3329,1084.0
-37.4092,145.3329,1109.0
-37.5227,145.3439,845.0
-37.5096,145.3494,919.0
-37.5402,145.355,895.0
-37.4965,145.3605,963.0
-37.326,145.366,947.0
-37.3873,145.366,991.0
-37.431,145.366,1090.0
-37.1634,145.3715,930.0
-37.3172,145.3715,939.0
-37.4965,145.377,939.0
-37.5271,145.377,950.0
-37.304,145.3825,947.0
-37.4747,145.3825,946.0
-37.2733,145.388,898.0
-37.4791,145.3936,941.0
-37.137,145.3991,978.0
-37.2558,145.4046,884.0
-37.4267,145.4046,922.0
-37.4922,145.4046,968.0
-37.2777,145.4101,963.0
-37.2909,145.4101,977.0
-37.3216,145.4101,939.0
-37.3347,145.4156,973.0
-37.4135,145.4156,907.0
-37.4878,145.4156,962.0
-37.5314,145.4156,1174.0
-37.466,145.4211,940.0
-37.3829,145.4266,978.0
-37.3654,145.4322,933.0
-37.2953,145.4377,968.0
-37.3873,145.4377,971.0
-37.2821,145.4432,932.0
-37.3084,145.4432,957.0
-37.3216,145.4432,935.0
-37.4878,145.4432,970.0
-37.5532,145.4432,1175.0
-37.5837,145.4432,1130.0
-37.4048,145.4487,912.0
-37.4398,145.4487,977.0
-37.396,145.4542,1202.0
-37.4223,145.4542,1196.0
-37.4572,145.4542,1108.0
-37.6272,145.4542,1164.0
-37.5227,145.4597,979.0
-37.5489,145.4597,1144.0
-37.5707,145.4597,1170.0
-37.5096,145.4652,967.0
-37.7271,145.4652,1165.0
-37.2865,145.4708,966.0
-37.5881,145.4708,918.0
-37.6403,145.4763,1132.0
-37.7358,145.4763,1151.0
-37.4791,145.4818,1060.0
-37.4092,145.4873,1172.0
-37.7791,145.4873,917.0
-37.3523,145.4928,1164.0
-37.4485,145.4928,1168.0
-37.514,145.4928,849.0
-37.2953,145.4983,847.0
-37.3654,145.4983,1187.0
-37.6316,145.4983,917.0
-37.6967,145.4983,1158.0
-37.3172,145.5038,1119.0
-37.3873,145.5038,1183.0
-37.7748,145.5038,1156.0
-37.6881,145.5094,1159.0
-37.3654,145.5149,937.0
-37.4179,145.5149,974.0
-37.3435,145.5204,1212.0
-37.7011,145.5204,1166.0
-37.4703,145.5259,1221.0
-37.4922,145.5259,1215.0
-37.2733,145.5314,1199.0
-37.3566,145.5314,1203.0
-37.4441,145.5314,1189.0
-37.6707,145.5314,1164.0
-37.7401,145.5314,1152.0
-37.361,145.5425,1204.0
-37.3829,145.5425,1177.0
-37.3435,145.548,1205.0
-37.4572,145.548,876.0
-37.7314,145.548,1173.0
-37.5445,145.5535,930.0
-37.396,145.5645,1209.0
-37.5837,145.5645,915.0
-37.7445,145.5645,1182.0
-37.2206,145.57,1217.0
-37.3654,145.57,1195.0
-37.8051,145.57,1102.0
-37.831,145.57,1112.0
-37.4267,145.5755,915.0
-37.4834,145.5755,1148.0
-37.5053,145.5755,1148.0
-37.6098,145.5755,1084.0
-37.304,145.5811,1244.0
-37.4398,145.5811,902.0
-38.0251,145.5811,1103.0
-37.326,145.5866,1202.0
-37.7661,145.5866,887.0
-37.4529,145.5921,885.0
-37.4703,145.5921,952.0
-37.4965,145.5921,1021.0
-37.1942,145.5976,1223.0
-37.2294,145.5976,1255.0
-37.5924,145.5976,965.0
-37.7488,145.5976,1113.0
-37.4441,145.6031,923.0
-37.8181,145.6031,1114.0
-37.3479,145.6086,1178.0
-37.4703,145.6086,1138.0
-37.5576,145.6086,972.0
-37.7878,145.6086,1079.0
-37.1854,145.6141,1085.0
-37.7271,145.6141,1079.0
-37.3435,145.6252,1184.0
-37.4354,145.6252,879.0
-37.466,145.6252,1156.0
-37.831,145.6252,1100.0
-37.3172,145.6307,1182.0
-37.8094,145.6307,1100.0
-37.9261,145.6307,1093.0
-37.9433,145.6307,1098.0
-37.225,145.6362,1131.0
-37.2426,145.6362,1197.0
-37.1898,145.6472,1234.0
-37.7748,145.6472,1134.0
-37.7964,145.6472,1107.0
-37.8483,145.6472,975.0
-37.9261,145.6472,1124.0
-37.2909,145.6527,1176.0
-37.304,145.6527,1209.0
-37.062,145.6583,1196.0
-37.1634,145.6583,1143.0
-37.3303,145.6583,1255.0
-37.6446,145.6583,1025.0
-37.2558,145.6638,1192.0
-37.5402,145.6638,951.0
-37.4441,145.6693,1163.0
-37.7445,145.6693,1185.0
-37.7748,145.6693,1096.0
-37.9131,145.6693,1087.0
-37.9218,145.6693,1127.0
-37.9864,145.6693,1094.0
-37.0973,145.6748,1155.0
-37.1678,145.6748,1213.0
-37.2382,145.6748,1208.0
-37.3566,145.6748,1133.0
-37.4092,145.6748,1152.0
-37.649,145.6748,899.0
-37.9476,145.6748,1083.0
-37.1194,145.6803,1273.0
-37.1942,145.6803,1228.0
-37.2645,145.6803,1198.0
-37.9649,145.6803,1107.0
-37.9433,145.6858,1126.0
-37.2777,145.6914,1195.0
-37.3698,145.6914,1145.0
-37.4398,145.6914,1133.0
-37.1105,145.6969,1179.0
-37.2909,145.6969,1151.0
-37.3172,145.6969,1207.0
-37.4529,145.6969,1138.0
-37.5881,145.6969,972.0
-37.6185,145.6969,930.0
-37.9606,145.6969,1119.0
-37.4267,145.7024,1169.0
-37.8915,145.7024,1123.0
-37.9907,145.7024,1112.0
-37.0929,145.7079,1250.0
-37.1502,145.7079,1179.0
-37.247,145.7079,1212.0
-37.2953,145.7079,1203.0
-37.7054,145.7079,1153.0
-37.7488,145.7079,972.0
-37.9174,145.7079,1022.0
-37.1326,145.7134,1202.0
-37.396,145.7134,1028.0
-37.4092,145.7134,1162.0
-37.0267,145.7189,1180.0
-37.062,145.7189,1266.0
-37.1061,145.7189,1254.0
-37.8483,145.7189,1124.0
-37.8915,145.7189,1081.0
-37.203,145.7244,1235.0
-37.9131,145.7244,1143.0
-37.0841,145.73,1232.0
-37.2689,145.73,1199.0
-37.2909,145.73,1220.0
-37.3654,145.73,1007.0
-36.9116,145.7355,970.0
-37.0399,145.7355,1194.0
-37.1766,145.7355,1202.0
-37.3084,145.7355,1211.0
-37.3391,145.7355,1023.0
-37.6533,145.7355,898.0
-37.8397,145.7355,1110.0
-37.8656,145.7355,1126.0
-37.3917,145.741,995.0
-37.5532,145.741,944.0
-37.1722,145.7465,1225.0
-37.1942,145.7465,1215.0
-37.4572,145.7465,952.0
-37.6403,145.7465,967.0
-37.662,145.7465,906.0
-37.9649,145.7465,971.0
-37.0178,145.752,1197.0
-37.2514,145.752,1213.0
-37.4135,145.752,933.0
-37.4354,145.752,928.0
-37.514,145.752,919.0
-37.8699,145.752,1007.0
-37.2909,145.7575,1209.0
-37.1854,145.763,1199.0
-37.1942,145.763,1138.0
-37.4048,145.763,950.0
-37.6533,145.763,917.0
-37.1326,145.7686,1191.0
-37.2689,145.7686,1204.0
-37.5227,145.7686,957.0
-37.203,145.7741,1194.0
-37.2997,145.7741,1012.0
-37.4223,145.7741,939.0
-37.1546,145.7796,989.0
-37.2558,145.7796,1223.0
-37.3873,145.7796,951.0
-37.8527,145.7796,1168.0
-36.9338,145.7906,26.0
-37.1634,145.7906,1191.0
-37.8137,145.7906,1130.0
-37.3084,145.7961,1025.0
-37.6663,145.7961,962.0
-37.2206,145.8016,1197.0
-37.2821,145.8016,982.0
-37.5358,145.8016,982.0
-38.0509,145.8016,1033.0
-37.181,145.8072,997.0
-37.2558,145.8072,1199.0
-37.7228,145.8127,1197.0
-37.2997,145.8182,991.0
-37.3128,145.8182,1030.0
-37.8051,145.8182,1157.0
-37.2382,145.8237,1194.0
-37.2645,145.8292,1182.0
-37.8267,145.8292,1199.0
-37.8397,145.8292,1169.0
-37.8483,145.8292,1129.0
-37.1634,145.8347,1221.0
-37.6055,145.8347,1010.0
-37.8051,145.8347,1171.0
-37.181,145.8403,1109.0
-37.1986,145.8403,1016.0
-37.304,145.8403,1019.0
-37.6794,145.8403,1179.0
-37.115,145.8458,1037.0
-37.159,145.8458,1100.0
-37.4267,145.8458,1010.0
-37.466,145.8458,1026.0
-37.6881,145.8458,1217.0
-37.7401,145.8458,1269.0
-37.8008,145.8458,1156.0
-37.8872,145.8458,1156.0
-37.1722,145.8513,1066.0
-37.0576,145.8568,1147.0
-37.361,145.8568,1146.0
-37.7271,145.8568,912.0
-37.1458,145.8623,1065.0
-37.4703,145.8623,1014.0
-37.4965,145.8623,971.0
-37.7834,145.8623,1217.0
-37.8008,145.8678,1153.0
-37.831,145.8678,1143.0
-36.9603,145.8733,1048.0
-37.1546,145.8733,1251.0
-37.2865,145.8733,1029.0
-37.4267,145.8733,1017.0
-37.5707,145.8733,979.0
-37.7531,145.8733,1188.0
-37.8656,145.8733,957.0
-37.939,145.8733,1130.0
-36.8495,145.8789,10.0
-37.2294,145.8789,991.0
-37.3785,145.8789,947.0
-37.062,145.8844,1119.0
-37.115,145.8844,1154.0
-37.3873,145.8844,929.0
-37.6142,145.8844,1220.0
-37.6446,145.8844,1193.0
-37.6707,145.8844,1203.0
-37.6967,145.8844,1193.0
-37.0753,145.8899,1098.0
-37.1282,145.8899,1359.0
-37.1634,145.8899,1165.0
-37.2558,145.8899,949.0
-37.1458,145.8954,1123.0
-37.4703,145.8954,983.0
-37.7445,145.8954,1205.0
-37.7661,145.8954,1184.0
-37.0708,145.9009,1094.0
-37.2206,145.9009,1040.0
-37.4529,145.9009,977.0
-37.6359,145.9009,1209.0
-37.8137,145.9009,1174.0
-37.2997,145.9064,1017.0
-37.3566,145.9064,1020.0
-37.6533,145.9064,1204.0
-37.7531,145.9064,1313.0
-37.247,145.9119,1010.0
-36.8406,145.9175,1058.0
-37.2162,145.9175,1068.0
-37.2558,145.9175,985.0
-37.2689,145.9175,1069.0
-37.662,145.9175,1021.0
-37.7228,145.9175,1242.0
-37.8959,145.9175,1148.0
-37.6924,145.923,1206.0
-37.2426,145.9285,1002.0
-37.8354,145.9285,1214.0
-37.9174,145.9285,1232.0
-37.3479,145.934,1191.0
-37.361,145.934,955.0
-37.4048,145.934,1144.0
-37.7705,145.934,1019.0
-37.3347,145.9395,1049.0
-37.7921,145.9395,1305.0
-37.2777,145.945,1012.0
-37.6359,145.945,1132.0
-37.6533,145.945,982.0
-37.675,145.945,1304.0
-37.7271,145.945,1008.0
-37.7531,145.945,1223.0
-36.7784,145.9505,1.0
-37.7748,145.9505,1210.0
-37.6663,145.9561,1138.0
-37.7401,145.9561,1208.0
-37.2558,145.9616,1066.0
-37.3523,145.9616,1010.0
-37.8008,145.9616,920.0
-37.8354,145.9616,1182.0
-37.9002,145.9616,1224.0
-37.304,145.9671,1008.0
-37.4179,145.9671,1059.0
-37.6707,145.9671,1156.0
-37.7618,145.9781,1161.0
-37.7748,145.9781,1023.0
