latitude,longitude,time
-37.326,145.0792,1366.0
-37.3829,145.0902,1333.0
-37.3829,145.1123,1290.0
-37.3303,145.1233,1359.0
-37.3566,145.1233,1310.0
-37.3128,145.1344,1336.0
-37.3479,145.1344,1353.0
-37.3566,145.1454,1296.0
-37.396,145.1454,1331.0
-37.3566,145.1619,1281.0
-37.3829,145.1619,1286.0
-37.4179,145.1785,1320.0
-37.4135,145.1895,1309.0
-37.4529,145.1895,1310.0
-37.2821,145.2061,136.0
-37.3084,145.2061,188.0
-37.4529,145.2061,1319.0
-37.2689,145.2171,171.0
-37.2689,145.2336,50.0
-37.4398,145.2336,1309.0
-37.2514,145.2447,1276.0
-37.2865,145.2447,5.0
-37.4791,145.2447,1316.0
-37.4572,145.2502,1326.0
-37.4048,145.2557,35.0
-37.2777,145.2612,46.0
-37.4354,145.2667,41.0
-37.466,145.2833,1301.0
-37.2777,145.2888,46.0
-37.4048,145.2888,98.0
-37.4965,145.2888,1319.0
-37.514,145.2943,1358.0
-37.304,145.2998,43.0
-37.3128,145.2998,19.0
-37.4922,145.3053,1280.0
-37.5184,145.3108,1297.0
-37.2689,145.3219,194.0
-37.2821,145.3274,36.0
-37.3084,145.3274,69.0
-37.4616,145.3274,45.0
-37.4878,145.3274,1277.0
-37.3084,145.3439,88.0
-37.5227,145.3439,1285.0
-37.2514,145.3494,56.0
-37.5096,145.3494,1287.0
-37.4703,145.355,53.0
-37.5402,145.355,1276.0
-37.3742,145.3605,44.0
-37.4135,145.3605,22.0
-37.4572,145.3605,69.0
-37.4965,145.3605,1343.0
-37.326,145.366,1358.0
-37.3873,145.366,1340.0
-37.159,145.3715,1284.0
-37.3172,145.3715,1341.0
-37.4965,145.377,1336.0
-37.5271,145.377,1359.0
-37.304,145.3825,1350.0
-37.4004,145.3825,4.0
-37.4747,145.3825,1303.0
-37.2733,145.388,1354.0
-37.4354,145.3936,22.0
-37.137,145.3991,1329.0
-37.4223,145.4046,36.0
-37.4922,145.4046,1276.0
-37.2426,145.4101,1368.0
-37.2514,145.4101,1337.0
-37.2777,145.4101,1370.0
-37.2909,145.4101,1356.0
-37.3216,145.4101,1353.0
-37.3347,145.4156,1356.0
-37.3829,145.4266,1291.0
-37.4572,145.4266,1296.0
-37.3654,145.4322,1320.0
-37.4398,145.4322,5.0
-37.2953,145.4377,1348.0
-37.3873,145.4377,1301.0
-37.2821,145.4432,1329.0
-37.3084,145.4432,1364.0
-37.3216,145.4432,1364.0
-37.4878,145.4432,1339.0
-37.5924,145.4432,1331.0
-37.4048,145.4487,1280.0
-37.4398,145.4487,1278.0
-37.431,145.4542,1287.0
-37.5184,145.4597,1286.0
-37.3479,145.4652,1288.0
-37.396,145.4652,1313.0
-37.5053,145.4652,1299.0
-37.2865,145.4708,1362.0
-37.5881,145.4708,1310.0
-37.7791,145.4873,1312.0
-37.4747,145.4928,1327.0
-37.4834,145.4928,1318.0
-37.2953,145.4983,1311.0
-37.5096,145.4983,1300.0
-37.6316,145.4983,1241.0
-37.4703,145.5094,1290.0
-37.3654,145.5149,1279.0
-37.4135,145.5149,1288.0
-37.3917,145.5204,1276.0
-37.3785,145.5314,1285.0
-37.4398,145.5425,1278.0
-37.4572,145.548,1296.0
-37.5402,145.5535,1268.0
-37.5837,145.5645,1295.0
-37.3873,145.57,1296.0
-37.4267,145.5755,1302.0
-37.4398,145.5811,1275.0
-37.7661,145.5866,1267.0
-37.4485,145.5921,1298.0
-37.4703,145.5921,1319.0
-37.4441,145.6031,1304.0
