Strike ID,Latitude,Longitude,Spawn time (hr),Inspection time (hr),Suppression time (hr)
0,-37.6626,145.5309891,3.6365776966666665,1.8049489194346147,N/A
1,-36.749,145.7474869,6.968794978333333,1.7104466796768663,N/A
2,-36.745,145.7676263,6.356427016666666,2.157143332038517,N/A
3,-36.6722,145.807905,6.053407119999999,2.3652725006942377,N/A
4,-36.6722,145.8280443,7.276333413333333,1.5447970149206989,N/A
5,-36.8663,145.8280443,6.63186501,1.9147907722806081,N/A
6,-36.8258,145.8431488,7.245847674999999,1.5465272286201737,N/A
7,-36.7127,145.8481836,7.065300368333333,1.682125837701353,N/A
8,-36.8663,145.8582533,6.88572148,1.702181455952244,N/A
9,-36.8258,145.8632881,5.828683186666667,2.522557961191939,N/A
10,-36.6844,145.8733578,6.548374281666667,1.957472639954952,N/A
11,-36.7733,145.8733578,6.0153532133333325,2.331940333697143,N/A
12,-36.7612,145.8783926,5.730802253333334,2.499482484967005,N/A
13,-36.7935,145.8783926,6.918345493333334,1.7441738773314794,N/A
14,-36.7369,145.8884623,5.824188393333333,2.4562581948455033,N/A
15,-36.8299,145.8884623,7.223296516666666,1.5046610391965574,N/A
16,-36.8501,145.8884623,7.315215385,1.5789323376110356,N/A
17,-36.8824,145.8884623,6.693506515,1.839743175875388,N/A
18,-36.6722,145.898532,6.31915579,2.179669429024299,N/A
19,-36.8056,145.898532,6.578730193333333,1.842852557402078,N/A
20,-36.8218,145.9136365,6.13683659,2.2416340148574627,N/A
21,-36.6763,145.9186713,6.6303409616666675,1.9014136826392305,N/A
22,-36.7733,145.9237061,6.241498941666666,2.1705613245714357,N/A
23,-36.8016,145.9237061,6.666171645,1.799576657599371,N/A
24,-36.9067,145.928741,6.583698886666666,1.8898519477483933,N/A
25,-36.7329,145.9438455,6.989444525,1.6375861395967957,N/A
26,-36.7652,145.9539151,6.65124202,1.7952202263637718,N/A
27,-36.8218,145.9539151,6.0174301366666665,2.3070631293729984,N/A
28,-36.745,145.95895,5.880973283333334,2.357331957261049,N/A
29,-36.8703,145.95895,6.533480533333334,1.9076612069309633,N/A
30,-36.8865,145.95895,7.194833861666667,1.5785977501556934,N/A
31,-36.8339,145.9639848,7.270840641666666,1.6651698758878097,N/A
32,-36.8582,145.9740545,6.8932002699999995,1.8233099625219762,N/A
33,-36.8339,145.9790893,6.015431386666667,2.2616475141975125,N/A
34,-36.8258,145.9841241,6.01459079,2.233986213770982,N/A
35,-36.8784,145.989159,5.951764413333334,2.301723014935372,N/A
36,-36.939,145.989159,7.215326535,1.6503708039934797,N/A
37,-36.7733,145.9941938,7.330302335,1.6887826635843664,N/A
38,-36.7975,145.9941938,6.708337265,1.806116023519074,N/A
39,-36.8137,145.9992286,6.26057685,2.0786895650988986,N/A
40,-36.8339,145.9992286,6.893278216666666,1.6857503818538366,N/A
41,-36.7046,146.0092983,6.870443373333333,1.7673748232550275,N/A
42,-36.939,146.0092983,6.408017808333333,1.8686745483746856,N/A
43,-36.7814,146.0244028,6.126931028333333,2.2115432602427103,N/A
44,-36.8784,146.0395073,6.7203646783333335,1.7045094062305572,N/A
45,-36.9188,146.0395073,7.114834861666667,1.6914217247069538,N/A
46,-36.7531,146.0445422,6.886282206666667,1.8153436768903328,N/A
47,-36.8541,146.0445422,6.056355908333333,2.195221537523409,N/A
48,-36.931,146.0445422,6.4771997699999995,1.8544691355670055,N/A
49,-36.8663,146.049577,6.653481645,1.7372384712291085,N/A
50,-36.8865,146.049577,6.54953453,1.8437296544715718,N/A
51,-36.9027,146.049577,6.879614276666667,1.737113611940547,N/A
52,-36.8299,146.0646815,7.306555058333333,1.3578728464009064,N/A
53,-36.939,146.0646815,6.3134624766666665,1.8886549235559638,N/A
54,-36.8703,146.0697163,6.788058688333334,1.8158226602199274,N/A
55,-36.7895,146.0747512,6.659978016666666,1.8246771853716715,N/A
56,-37.2139,146.0747512,6.524441958333333,1.8557714303085675,N/A
57,-36.7571,146.0848208,7.229867128333333,1.5309649250569155,N/A
58,-36.8097,146.0848208,6.2667712700000004,2.014034979688621,N/A
59,-36.9229,146.0848208,6.753442485,1.763171045570601,N/A
60,-36.9471,146.0848208,7.270415754999999,1.572157753799051,N/A
61,-37.2261,146.0898557,5.933659826666666,2.1369195096362574,N/A
62,-36.7288,146.0948905,7.230482126666667,1.5855134433574827,N/A
63,-36.8461,146.0948905,6.0589554183333325,2.1564131287847896,N/A
64,-36.8784,146.0948905,6.603310835,1.7464846850259983,N/A
65,-36.8299,146.1049602,6.480624051666666,1.8184040595312105,N/A
66,-36.7369,146.109995,7.20591393,1.562300211498437,N/A
67,-36.842,146.1150298,6.478169575000001,1.7851732436241168,N/A
68,-36.9592,146.1200647,7.053575056666666,1.7459043396676832,N/A
69,-37.2665,146.1250995,6.522320775000001,1.7547143718517741,N/A
70,-36.9107,146.1301343,7.047222115,1.7504881424906085,N/A
71,-37.5495,146.1301343,6.067087895,1.8821005218625355,N/A
72,-36.7531,146.1351692,6.759564149999999,1.8941874610150404,N/A
73,-36.741,146.140204,7.210619851666667,1.6063809825383284,N/A
74,-37.3069,146.140204,6.47572645,1.7295031379676988,N/A
75,-37.5292,146.140204,4.04623671,1.0026765201556727,N/A
76,-36.8905,146.1452388,6.669648903333333,1.78643492369897,N/A
77,-36.9633,146.1452388,5.863966659999999,2.231467546269293,N/A
78,-36.7531,146.1502737,7.307292548333334,1.64919135474113,N/A
79,-36.8663,146.1553085,6.232857933333333,1.9610152674029107,N/A
80,-37.5373,146.1603433,6.162923046666666,1.8380964446905395,N/A
81,-36.8016,146.1653782,7.061394941666666,1.6799273938808337,N/A
82,-36.9512,146.1653782,7.342025405,1.4275809583353931,N/A
83,-37.2463,146.1653782,6.380693721666667,1.7572814816873445,N/A
84,-36.741,146.170413,7.279242845,1.6341886868141107,N/A
85,-37.4767,146.170413,6.989949755,1.6430406191138829,N/A
86,-37.2341,146.1754478,5.155504626666667,1.175723342542149,N/A
87,-37.4565,146.1754478,6.079231269999999,1.9094448853537465,N/A
88,-36.9431,146.1855175,6.750532416666667,1.9788360281335797,N/A
89,-37.5333,146.1855175,6.6498846333333335,1.8907552874371818,N/A
90,-36.842,146.1955872,6.34309217,1.8743826057387176,N/A
91,-36.8582,146.1955872,7.030690015,1.7662035819243112,N/A
92,-37.1169,146.1955872,4.26118151,0.8261281893408386,N/A
93,-37.2341,146.1955872,6.099972825,1.8895802756015565,N/A
94,-37.319,146.1955872,4.732320921666667,0.34140323919221777,N/A
95,-37.2544,146.200622,6.195292996666667,1.8379953927595498,N/A
96,-36.8824,146.2056568,6.462746626666667,1.750450149578045,N/A
97,-37.2665,146.2056568,6.330810805,1.7358186050522646,N/A
98,-37.3554,146.2106917,3.9276182866666667,1.0792969391267393,N/A
99,-37.4524,146.2106917,7.12706182,1.4865149890824019,N/A
100,-36.8339,146.2157265,7.223728348333333,1.6279766320515106,N/A
101,-37.032,146.2157265,4.586308496666666,0.5780130129830124,N/A
102,-37.2382,146.2157265,6.217708305,1.850106658876638,N/A
103,-37.3231,146.2157265,5.724572610000001,1.6362319629435569,N/A
104,-37.509,146.2157265,6.176568481666666,1.9091804257627083,N/A
105,-36.7531,146.2207613,7.230829713333334,1.6887504227535102,N/A
106,-36.9188,146.2207613,6.9023775800000005,1.7841090751160895,N/A
107,-36.9875,146.2207613,6.809616223333333,1.86469418908386,N/A
108,-36.7895,146.2257962,5.786220943333333,2.1768968444144563,N/A
109,-36.935,146.2257962,6.447487735,1.6770799057309027,N/A
110,-37.4686,146.2257962,4.446510105,0.6091241872361055,N/A
111,-36.8178,146.230831,6.446425245,1.8044147391695586,N/A
112,-36.9027,146.230831,6.963859721666666,1.762842063642625,N/A
113,-37.2463,146.230831,3.636621921666667,1.1384047592520428,N/A
114,-37.2665,146.2358658,5.728210823333333,1.7262123357901833,N/A
115,-36.749,146.2409007,6.7520587899999995,1.9312565565746445,N/A
116,-36.8218,146.2459355,7.185574446666666,1.6608266341398383,N/A
117,-36.8582,146.2459355,6.701050753333333,1.8852326584720756,N/A
118,-36.8703,146.2459355,7.058300306666666,1.7303036000982037,N/A
119,-36.9714,146.2509703,6.283164491666667,1.7703304409855285,N/A
120,-36.8258,146.2560052,6.612609413333333,1.683260958904291,N/A
121,-37.0644,146.2560052,6.320465755,1.808836846709253,N/A
122,-36.8056,146.2660748,7.330487053333333,1.5624804575020628,N/A
123,-36.935,146.2660748,6.3352084600000005,1.7451035740154919,N/A
124,-37.032,146.2660748,4.25201025,0.7773539025790716,N/A
125,-37.2544,146.2660748,5.8595932516666664,2.0352321581897,N/A
126,-37.319,146.2660748,6.4605045216666666,1.7709017786946626,N/A
127,-36.8986,146.2711097,5.936840116666667,2.0674066791140233,N/A
128,-37.3918,146.2711097,3.4213685933333333,1.1578644689962494,N/A
129,-36.7733,146.2761445,6.8889474150000005,1.8212510291967647,N/A
130,-36.8299,146.2761445,7.278466924999999,1.5883924139245997,N/A
131,-36.8541,146.2761445,6.688599098333333,1.8739555267692392,N/A
132,-37.2624,146.2811794,3.845698606666667,1.0024925516342238,N/A
133,-37.2827,146.2811794,6.3403091499999995,1.8244100090802506,N/A
134,-37.0199,146.2862142,4.30558586,0.7667692015939499,N/A
135,-37.3231,146.2862142,5.957643699999999,1.9686214640576984,N/A
136,-36.8299,146.291249,7.318330413333334,1.5384957930525271,N/A
137,-36.9875,146.291249,5.890941086666667,2.07331448481035,N/A
138,-37.2867,146.2962839,3.5774803116666667,1.0946447579442384,N/A
139,-37.3352,146.2962839,6.261980584999999,1.6999321132624987,N/A
140,-37.0927,146.3013187,4.388896143333333,0.7317757067226451,N/A
141,-37.4565,146.3013187,4.6412235116666665,0.3547672768222795,N/A
142,-37.5131,146.3013187,6.513178363333334,1.9073704880145104,N/A
143,-36.842,146.3063535,7.079621015,1.7381632475263955,N/A
144,-36.8501,146.3063535,7.102903496666666,1.720346377037053,N/A
145,-36.7248,146.3113884,6.735460361666666,1.7758561614026813,N/A
146,-36.7854,146.3113884,7.245896345,1.6353683025850752,N/A
147,-36.9188,146.3113884,6.350863393333333,1.7265773441203702,N/A
148,-37.121,146.3113884,5.831065796666667,1.9781504077346734,N/A
149,-36.8056,146.3164232,6.739771958333334,1.894043429849463,N/A
150,-36.8622,146.3164232,6.988281846666666,1.7843858469001215,N/A
151,-37.2584,146.3164232,6.1330403449999995,1.8099706633260029,N/A
152,-37.2786,146.3164232,6.513744099999999,1.8037342218881036,N/A
153,-37.3433,146.3164232,6.353596045000001,1.827604397001651,N/A
154,-36.9067,146.321458,5.915074059999999,2.0336335927647573,N/A
155,-37.0603,146.321458,5.789088311666666,2.0723294329089743,N/A
156,-37.2139,146.321458,4.739481088333333,0.42413579986879185,N/A
157,-37.3595,146.321458,6.290942149999999,1.7288187564059878,N/A
158,-36.8865,146.3264929,6.472616176666667,1.6083640157319719,N/A
159,-36.9592,146.3264929,6.045361781666667,1.960252724862521,N/A
160,-37.0037,146.3264929,5.9250589116666665,2.0222535854100423,N/A
161,-37.3029,146.3264929,6.320942055,1.789713248173823,N/A
162,-37.4767,146.3264929,6.864583698333333,1.6269470543876874,N/A
163,-37.5656,146.3264929,6.157035405,1.8799062662014936,N/A
164,-37.125,146.3315277,4.212982651666667,0.7154666859585308,N/A
165,-37.4929,146.3315277,7.325184331666667,1.204840480103015,N/A
166,-36.741,146.3365625,6.995208751666667,1.805595272480061,N/A
167,-36.8582,146.3365625,1.7396130866666666,0.0950101011761563,N/A
168,-37.3392,146.3365625,4.516984363333333,0.4652990979036809,N/A
169,-37.5333,146.3365625,5.910565385,1.7792525712291283,N/A
170,-36.8218,146.3415974,6.419018771666667,1.7262045474766294,N/A
171,-37.1169,146.3415974,6.4679098900000005,1.7907279903158826,N/A
172,-37.2018,146.3415974,7.827781451666667,1.0121958145050607,N/A
173,-37.5737,146.3415974,5.995139243333333,1.7158242974875955,N/A
174,-36.7693,146.351667,7.345246555,1.5085878735624576,N/A
175,-37.0239,146.351667,3.822911771666667,0.9549543687066782,N/A
176,-37.2139,146.351667,5.862734033333334,1.9969855070457834,N/A
