Water Tank ID,Latitude,Longitude,Initial Capacity,Remaining Capacity
0,-34.77,150.31,1000000.0,1000000.0
1,34.747,150.4,1000000.0,1000000.0
2,-34.791,150.25,1000000.0,1000000.0
3,-34.905,150.52,1000000.0,1000000.0
4,-35.107,150.57,1000000.0,1000000.0
5,-35.241,150.46,1000000.0,1000000.0
6,-35.258,150.34,1000000.0,1000000.0
7,-35.362,150.43,1000000.0,1000000.0
8,-35.561,150.18,1000000.0,1000000.0
9,-35.644,150.14,1000000.0,1000000.0
10,-35.76,150.17,1000000.0,1000000.0
11,-35.395,150.0,1000000.0,1000000.0
12,-35.429,149.27,1000000.0,1000000.0
13,-35.32,148.93,1000000.0,1000000.0
14,-35.449,148.82,1000000.0,1000000.0
15,-35.541,148.83,1000000.0,1000000.0
16,-35.772,148.65,1000000.0,1000000.0
17,-36.052,148.71,1000000.0,1000000.0
18,-36.15,148.77,1000000.0,1000000.0
19,-36.402,148.62,1000000.0,1000000.0
20,-36.321,148.63,1000000.0,1000000.0
21,-36.317,148.69,1000000.0,1000000.0
22,-36.491,149.74,1000000.0,1000000.0
23,-35.908,150.04,1000000.0,1000000.0
24,-35.805,150.15,1000000.0,1000000.0
25,-35.908,150.04,1000000.0,1000000.0
26,-35.908,150.04,1000000.0,1000000.0
27,-36.854,149.81,1000000.0,1000000.0
28,-36.894,149.89,1000000.0,1000000.0
29,36.8,149.82,1000000.0,1000000.0
30,-36.826,149.82,1000000.0,1000000.0
31,-36.738,149.76,1000000.0,1000000.0
32,-36.677,149.65,1000000.0,1000000.0
33,-36.568,149.45,1000000.0,1000000.0
34,-36.52,149.47,1000000.0,1000000.0
35,-36.231,149.16,1000000.0,1000000.0
36,-35.785,149.43,1000000.0,1000000.0
37,-35.818,149.15,1000000.0,1000000.0
38,-36.317,148.48,1000000.0,1000000.0
39,-36.305,148.32,1000000.0,1000000.0
40,-36.378,148.37,1000000.0,1000000.0
41,-36.443,148.45,1000000.0,1000000.0
42,-36.842,149.31,1000000.0,1000000.0
43,-37.51,149.73,1000000.0,1000000.0
44,-37.761,148.98,1000000.0,1000000.0
45,-37.75,149.13,1000000.0,1000000.0
46,-37.777,148.49,1000000.0,1000000.0
47,-36.998,147.92,1000000.0,1000000.0
48,-36.572,147.55,1000000.0,1000000.0
49,-36.878,147.29,1000000.0,1000000.0
50,-36.738,147.17,1000000.0,1000000.0
51,-38.097,47.311,1000000.0,1000000.0
52,-37.918,146.77,1000000.0,1000000.0
53,-38.294,146.37,1000000.0,1000000.0
54,-38.066,146.21,1000000.0,1000000.0
55,-38.085,146.38,1000000.0,1000000.0
56,-37.84,146.39,1000000.0,1000000.0
57,-37.707,146.33,1000000.0,1000000.0
58,-37.679,145.9,1000000.0,1000000.0
59,-37.675,145.81,1000000.0,1000000.0
60,-37.863,145.72,1000000.0,1000000.0
61,-37.636,145.56,1000000.0,1000000.0
62,-37.213,146.09,1000000.0,1000000.0
63,-37.181,145.88,1000000.0,1000000.0
64,-36.58,147.55,1000000.0,1000000.0
65,-36.24,148.12,1000000.0,1000000.0
66,-35.677,148.32,1000000.0,1000000.0
67,-35.97,148.39,1000000.0,1000000.0
68,-35.888,148.45,1000000.0,1000000.0
69,-36.056,148.27,1000000.0,1000000.0
70,-38.116,145.78,1000000.0,1000000.0
71,-37.964,145.43,1000000.0,1000000.0
72,-37.84,145.42,1000000.0,1000000.0
73,-37.632,145.57,1000000.0,1000000.0
74,-36.721,146.66,1000000.0,1000000.0
75,-36.223,147.85,1000000.0,1000000.0
76,-35.115,150.27,1000000.0,1000000.0
77,-35.178,150.06,1000000.0,1000000.0
78,-35.065,149.84,1000000.0,1000000.0
79,-35.333,150.22,1000000.0,1000000.0
80,-36.227,147.24,50000.0,50000.0
81,-36.154,147.02,50000.0,50000.0
82,-36.048,147.16,50000.0,50000.0
83,-35.961,147.42,50000.0,50000.0
84,-35.424,148.25,50000.0,50000.0
85,-36.398,151.19,50000.0,50000.0
86,-37.15,146.46,50000.0,50000.0
87,-37.506,145.76,50000.0,50000.0
88,-36.91,146.01,50000.0,50000.0
89,-36.802,145.79,50000.0,50000.0
90,-37.419,147.84,50000.0,50000.0
91,-37.241,147.7,50000.0,50000.0
92,-37.106,147.6,50000.0,50000.0
93,-37.09,147.38,50000.0,50000.0
94,-37.482,147.25,50000.0,50000.0
95,-37.789,146.68,50000.0,50000.0
96,-37.605,146.59,50000.0,50000.0
97,-37.447,146.37,50000.0,50000.0
98,-37.871,146.07,50000.0,50000.0
99,-37.714,147.3,50000.0,50000.0
100,-37.718,147.83,50000.0,50000.0
101,-37.062,148.26,50000.0,50000.0
102,-37.066,148.55,50000.0,50000.0
103,-36.689,148.47,50000.0,50000.0
104,-36.414,149.44,50000.0,50000.0
105,-35.879,149.6,50000.0,50000.0
106,-35.266,149.46,50000.0,50000.0
107,-36.633,148.83,50000.0,50000.0
108,-36.922,148.88,50000.0,50000.0
109,-35.789,147.98,50000.0,50000.0
110,-35.978,147.73,50000.0,50000.0
111,-36.439,146.87,50000.0,50000.0
112,-37.058,149.25,50000.0,50000.0
113,-36.455,149.21,50000.0,50000.0
114,-35.557,149.83,50000.0,50000.0
115,-36.15,149.97,50000.0,50000.0
116,-36.158,149.7,50000.0,50000.0
117,-37.372,146.98,50000.0,50000.0
