latitude,longitude,starting at base,initial fuel
-34.809,150.54,t,0.806056373
-37.82,145.81,t,0.545732576
-37.396,148.93,t,0.614365269
-35.374,148.44,t,0.676685038
-36.842,147.16,t,0.879104914
-36.398,147.25,t,0.756639395
-35.132,148.79,t,0.61252493
-35.797,147.89,t,0.639233477
-36.629,148.08,t,0.539537935
-37.73,147.63,t,0.581913925
-37.769,146.98,t,0.57424223
-37.368,146.33,t,0.9780796
-35.048,149.64,t,0.502576545
-36.101,149.45,t,0.640646337
-37.632,146.06,t,0.503349333
-37.249,146.91,t,0.569078104
-37.054,148.67,t,0.618895893
-36.918,148.88,t,0.685321183
-37.73,146.26,t,0.913155851
-37.042,147.29,t,0.831673397
-36.471,149.02,t,0.755513557
-35.982,149.7,t,0.773951962
-35.859,149.26,t,0.885020361
-36.154,148.32,t,0.599401007
-35.64,148.65,t,0.617953559
-35.961,149.73,t,0.994854593
-37.439,146.04,t,0.628004646
-35.624,150.02,t,0.793366676
-36.746,148.48,t,0.652373095
-36.713,148.26,t,0.721649411
-36.325,147.83,t,0.865405122
-36.697,147.58,t,0.838212986
-36.677,147.22,t,0.534331869
-36.701,149.76,t,0.983897348
-37.656,149.2,t,0.69269248
-34.909,150.44,t,0.642666938
-35.237,149.66,t,0.572564827
-37.573,146.7,t,0.934955056
-35.04,149.21,t,0.676740698
-37.026,147.84,t,0.726764018
